run,iteration,best_fitness
0,0,426.638134
0,1,458.399024
0,2,495.440498
0,3,581.883740
0,4,583.275977
0,5,609.690666
0,6,628.920300
0,7,639.776218
0,8,673.714629
0,9,673.714629
0,10,673.714629
0,11,673.714629
0,12,673.714629
0,13,673.714629
0,14,673.714629
0,15,683.848891
0,16,718.985579
0,17,718.985579
0,18,718.985579
0,19,718.985579
0,20,725.820653
0,21,744.424962
0,22,744.424962
0,23,744.424962
0,24,754.423290
0,25,754.423290
0,26,754.423290
0,27,754.423290
0,28,754.423290
0,29,754.423290
0,30,754.423290
0,31,754.423290
0,32,754.423290
0,33,763.269026
0,34,763.269026
0,35,763.269026
0,36,763.269026
0,37,763.269026
0,38,763.269026
0,39,765.734702
0,40,765.734702
0,41,765.734702
0,42,802.324854
0,43,802.324854
0,44,802.324854
0,45,802.324854
0,46,802.324854
0,47,802.324854
0,48,802.324854
0,49,802.324854
0,50,802.324854
0,51,802.324854
0,52,802.324854
0,53,802.324854
0,54,802.324854
0,55,802.324854
0,56,802.324854
0,57,802.324854
0,58,802.324854
0,59,802.324854
0,60,802.324854
0,61,802.324854
0,62,809.804285
0,63,809.804285
0,64,809.804285
0,65,809.804285
0,66,809.804285
0,67,809.804285
0,68,809.804285
0,69,809.804285
0,70,809.804285
0,71,809.804285
0,72,809.804285
0,73,809.804285
0,74,809.804285
0,75,809.804285
0,76,809.804285
0,77,809.804285
0,78,809.804285
0,79,809.804285
0,80,809.804285
0,81,809.804285
0,82,809.804285
0,83,809.804285
0,84,809.804285
0,85,809.804285
0,86,809.804285
0,87,809.804285
0,88,809.804285
0,89,809.804285
0,90,809.804285
0,91,809.804285
0,92,809.804285
0,93,809.804285
0,94,809.804285
0,95,809.804285
0,96,809.804285
0,97,809.804285
0,98,809.804285
0,99,809.804285
1,0,524.351946
1,1,617.236657
1,2,617.236657
1,3,658.751971
1,4,660.886910
1,5,680.355932
1,6,680.355932
1,7,720.632074
1,8,720.632074
1,9,720.864302
1,10,720.864302
1,11,728.354953
1,12,733.482793
1,13,733.482793
1,14,747.397296
1,15,747.397296
1,16,776.114419
1,17,776.114419
1,18,776.114419
1,19,785.049712
1,20,785.049712
1,21,785.049712
1,22,785.049712
1,23,785.049712
1,24,785.049712
1,25,785.049712
1,26,785.049712
1,27,785.049712
1,28,785.049712
1,29,785.049712
1,30,785.049712
1,31,785.049712
1,32,785.049712
1,33,785.049712
1,34,785.049712
1,35,785.049712
1,36,785.049712
1,37,785.049712
1,38,785.049712
1,39,785.049712
1,40,785.049712
1,41,785.049712
1,42,785.049712
1,43,785.049712
1,44,785.049712
1,45,785.049712
1,46,785.049712
1,47,785.049712
1,48,785.049712
1,49,785.049712
1,50,785.049712
1,51,785.049712
1,52,785.049712
1,53,785.049712
1,54,785.049712
1,55,785.049712
1,56,785.049712
1,57,785.049712
1,58,785.049712
1,59,785.049712
1,60,785.049712
1,61,785.049712
1,62,785.049712
1,63,785.049712
1,64,785.049712
1,65,800.925775
1,66,800.925775
1,67,800.925775
1,68,800.925775
1,69,800.925775
1,70,800.925775
1,71,800.925775
1,72,800.925775
1,73,800.925775
1,74,800.925775
1,75,800.925775
1,76,800.925775
1,77,800.925775
1,78,800.925775
1,79,800.925775
1,80,800.925775
1,81,800.925775
1,82,800.925775
1,83,800.925775
1,84,800.925775
1,85,800.925775
1,86,800.925775
1,87,800.925775
1,88,800.925775
1,89,800.925775
1,90,800.925775
1,91,800.925775
1,92,800.925775
1,93,800.925775
1,94,800.925775
