run,iteration,best_fitness
0,0,401.284593
0,1,401.284593
0,2,426.559147
0,3,455.366785
0,4,455.366785
0,5,489.869099
0,6,489.869099
0,7,501.602186
0,8,503.689688
0,9,524.832026
0,10,524.832026
0,11,524.832026
0,12,524.832026
0,13,538.265295
0,14,538.265295
0,15,538.265295
0,16,538.265295
0,17,538.265295
0,18,538.265295
0,19,538.265295
0,20,543.890073
0,21,543.890073
0,22,543.890073
0,23,543.890073
0,24,543.890073
0,25,543.890073
0,26,543.890073
0,27,543.890073
0,28,543.890073
0,29,543.890073
0,30,543.890073
0,31,543.890073
0,32,543.890073
0,33,543.890073
0,34,543.890073
0,35,543.890073
0,36,543.890073
0,37,543.890073
0,38,543.890073
0,39,543.890073
0,40,543.890073
0,41,543.890073
0,42,543.890073
0,43,543.890073
0,44,543.890073
0,45,543.890073
0,46,543.890073
0,47,543.890073
0,48,543.890073
0,49,543.890073
0,50,543.890073
0,51,543.890073
0,52,543.890073
0,53,543.890073
0,54,543.890073
0,55,543.890073
0,56,543.890073
0,57,543.890073
0,58,543.890073
0,59,543.890073
0,60,543.890073
0,61,543.890073
0,62,543.890073
0,63,543.890073
0,64,543.890073
0,65,543.890073
0,66,543.890073
0,67,543.890073
0,68,543.890073
0,69,543.890073
0,70,543.890073
0,71,543.890073
0,72,543.890073
0,73,543.890073
0,74,543.890073
0,75,543.890073
0,76,543.890073
0,77,543.890073
0,78,551.801031
0,79,551.801031
0,80,551.801031
0,81,551.801031
0,82,551.801031
0,83,551.801031
0,84,551.801031
0,85,551.801031
0,86,551.801031
0,87,551.801031
0,88,551.801031
0,89,551.801031
0,90,551.801031
0,91,551.801031
0,92,551.801031
0,93,551.801031
0,94,552.967768
0,95,552.967768
0,96,552.967768
0,97,552.967768
0,98,552.967768
0,99,552.967768
1,0,390.633284
1,1,390.633284
1,2,458.302046
1,3,497.965253
1,4,517.713464
1,5,528.118372
1,6,528.118372
1,7,549.813950
1,8,549.813950
1,9,549.813950
1,10,549.813950
1,11,549.813950
1,12,549.813950
1,13,569.149156
1,14,569.149156
1,15,569.149156
1,16,569.149156
1,17,569.149156
1,18,569.149156
1,19,569.149156
1,20,569.149156
1,21,569.149156
1,22,569.149156
1,23,569.149156
1,24,569.149156
1,25,569.149156
1,26,569.149156
1,27,569.149156
1,28,569.149156
1,29,569.149156
1,30,569.149156
1,31,569.149156
1,32,569.149156
1,33,569.149156
1,34,569.149156
1,35,569.149156
1,36,569.149156
1,37,569.149156
1,38,569.149156
1,39,569.149156
1,40,569.149156
1,41,569.149156
1,42,569.149156
1,43,569.149156
1,44,569.149156
1,45,569.149156
1,46,569.149156
1,47,569.149156
1,48,569.149156
1,49,569.149156
1,50,569.149156
1,51,569.149156
1,52,569.149156
1,53,569.149156
1,54,569.149156
1,55,569.149156
1,56,569.149156
1,57,569.149156
1,58,569.149156
1,59,569.149156
1,60,569.149156
1,61,569.149156
1,62,569.149156
1,63,569.149156
1,64,569.149156
1,65,569.149156
1,66,569.149156
1,67,569.149156
1,68,569.149156
1,69,569.149156
1,70,569.149156
1,71,569.149156
1,72,569.149156
1,73,569.149156
1,74,569.149156
1,75,569.149156
1,76,569.149156
1,77,569.149156
1,78,569.149156
1,79,569.149156
1,80,569.149156
1,81,569.149156
1,82,569.149156
1,83,569.149156
1,84,569.149156
1,85,569.149156
1,86,569.149156
1,87,569.149156
1,88,569.149156
1,89,569.149156
1,90,569.149156
1,91,569.149156
1,92,569.149156
1,93,569.149156
1,94,569.149156
1,95,569.149156
1,96,569.149156
1,97,569.149156
1,98,569.149156
1,99,569.149156
2,0,447.874195
2,1,498.561749
2,2,498.561749
2,3,498.561749
2,4,501.392233
2,5,517.396447
2,6,551.671636
2,7,551.671636
2,8,551.671636
2,9,551.671636
2,10,551.671636
2,11,551.671636
2,12,551.671636
2,13,551.671636
2,14,551.671636
2,15,551.671636
2,16,551.671636
2,17,551.671636
2,18,551.671636
2,19,551.671636
2,20,551.671636
2,21,551.671636
2,22,551.671636
2,23,551.671636
2,24,551.671636
2,25,551.671636
2,26,551.671636
2,27,551.671636
2,28,551.671636
2,29,551.671636
2,30,564.587526
2,31,564.587526
2,32,564.587526
2,33,564.587526
2,34,564.587526
2,35,564.587526
2,36,564.587526
2,37,564.587526
2,38,564.587526
2,39,564.587526
2,40,564.587526
2,41,564.587526
2,42,564.587526
2,43,564.587526
2,44,564.587526
2,45,564.587526
2,46,564.587526
2,47,564.587526
2,48,564.587526
2,49,564.587526
2,50,564.587526
2,51,564.587526
2,52,564.587526
2,53,564.587526
2,54,564.587526
2,55,564.587526
2,56,564.587526
2,57,564.587526
2,58,564.587526
2,59,564.587526
2,60,564.587526
2,61,564.587526
2,62,564.587526
2,63,564.587526
2,64,564.587526
2,65,564.587526
2,66,564.587526
2,67,564.587526
2,68,564.587526
2,69,564.587526
2,70,564.587526
2,71,575.193598
2,72,575.193598
2,73,575.193598
2,74,575.193598
2,75,575.193598
2,76,575.193598
2,77,575.193598
2,78,575.193598
2,79,575.193598
2,80,575.193598
2,81,575.193598
2,82,602.617384
2,83,602.617384
2,84,602.617384
2,85,602.617384
2,86,602.617384
